test_loss:0.5303846398989359    test_acc86.6844207723036
test_loss:0.5411791751782099    test_acc87.08388814913448
test_loss:0.5300327564279238    test_acc86.6844207723036
test_loss:0.5367719580729803    test_acc86.81757656458056
test_loss:0.5330539171894392    test_acc86.2849533954727
test_loss:0.5238699093461037    test_acc87.74966711051931
test_loss:0.550421629101038    test_acc87.61651131824235
test_loss:0.5311974659562111    test_acc86.41810918774966
test_loss:0.5351365779836973    test_acc86.95073235685753
test_loss:0.5407812943061193    test_acc87.21704394141145
test_loss:0.5359697888294855    test_acc87.61651131824235
test_loss:0.5383118192354838    test_acc87.74966711051931
test_loss:0.5195258731643358    test_acc87.88282290279628
test_loss:0.5419031803806623    test_acc87.74966711051931
test_loss:0.5453095783789953    test_acc87.61651131824235
test_loss:0.5482652510205904    test_acc87.88282290279628
test_loss:0.5536616928875446    test_acc87.48335552596538
test_loss:0.5261105373501778    test_acc88.1491344873502
test_loss:0.5298556759953499    test_acc87.74966711051931
test_loss:0.5290454253554344    test_acc87.48335552596538
test_loss:0.5172254492839178    test_acc86.95073235685753
test_loss:0.5087673459202051    test_acc87.48335552596538
test_loss:0.5358337437113126    test_acc88.41544607190413
test_loss:0.5417684838175774    test_acc87.61651131824235
test_loss:0.530892875045538    test_acc87.88282290279628
test_loss:0.5438447992006937    test_acc87.61651131824235
test_loss:0.528950055440267    test_acc88.01597869507323
test_loss:0.5308426916599274    test_acc88.1491344873502
test_loss:0.533592569331328    test_acc88.41544607190413
test_loss:0.5419367601474127    test_acc88.01597869507323
test_loss:0.5324679935971895    test_acc88.28229027962716
test_loss:0.5226414253314337    test_acc88.01597869507323
test_loss:0.5381727342804273    test_acc87.74966711051931
test_loss:0.5275619824727377    test_acc88.1491344873502
test_loss:0.5303199738264084    test_acc88.1491344873502
test_loss:0.5319365461667379    test_acc88.41544607190413
test_loss:0.5422127892573675    test_acc87.35019973368841
test_loss:0.5166368509332339    test_acc88.5486018641811
test_loss:0.5228050959606966    test_acc88.41544607190413
test_loss:0.5303386723001798    test_acc89.08122503328894
test_loss:0.5424984010557333    test_acc88.41544607190413
test_loss:0.5551663289467493    test_acc87.21704394141145
